[Wed Apr 28 16:07:27 2021] 465 SIGUSR1 sent, 305 SIRUSR2 sent, 734 SIGUSR1 received, 305 SIGUSR2 received, avg 0.042 sec between SIGUSR1, avg 0.101 sec between SIGUSR2
[Wed Apr 28 16:07:28 2021] 465 SIGUSR1 sent, 315 SIRUSR2 sent, 734 SIGUSR1 received, 315 SIGUSR2 received, avg 0.043 sec between SIGUSR1, avg 0.100 sec between SIGUSR2
[Wed Apr 28 16:07:28 2021] 465 SIGUSR1 sent, 325 SIRUSR2 sent, 734 SIGUSR1 received, 325 SIGUSR2 received, avg 0.043 sec between SIGUSR1, avg 0.098 sec between SIGUSR2
[Wed Apr 28 16:07:28 2021] 465 SIGUSR1 sent, 335 SIRUSR2 sent, 734 SIGUSR1 received, 335 SIGUSR2 received, avg 0.043 sec between SIGUSR1, avg 0.095 sec between SIGUSR2
[Wed Apr 28 16:07:28 2021] 465 SIGUSR1 sent, 345 SIRUSR2 sent, 734 SIGUSR1 received, 345 SIGUSR2 received, avg 0.044 sec between SIGUSR1, avg 0.093 sec between SIGUSR2
[Wed Apr 28 16:07:29 2021] 466 SIGUSR1 sent, 354 SIRUSR2 sent, 735 SIGUSR1 received, 354 SIGUSR2 received, avg 0.044 sec between SIGUSR1, avg 0.092 sec between SIGUSR2
[Wed Apr 28 16:07:29 2021] 476 SIGUSR1 sent, 354 SIRUSR2 sent, 745 SIGUSR1 received, 354 SIGUSR2 received, avg 0.044 sec between SIGUSR1, avg 0.093 sec between SIGUSR2
[Wed Apr 28 16:07:29 2021] 486 SIGUSR1 sent, 354 SIRUSR2 sent, 755 SIGUSR1 received, 354 SIGUSR2 received, avg 0.044 sec between SIGUSR1, avg 0.094 sec between SIGUSR2
[Wed Apr 28 16:07:30 2021] 490 SIGUSR1 sent, 360 SIRUSR2 sent, 759 SIGUSR1 received, 360 SIGUSR2 received, avg 0.044 sec between SIGUSR1, avg 0.094 sec between SIGUSR2
[Wed Apr 28 16:07:30 2021] 490 SIGUSR1 sent, 370 SIRUSR2 sent, 759 SIGUSR1 received, 370 SIGUSR2 received, avg 0.045 sec between SIGUSR1, avg 0.093 sec between SIGUSR2
[Wed Apr 28 16:07:31 2021] 498 SIGUSR1 sent, 372 SIRUSR2 sent, 767 SIGUSR1 received, 372 SIGUSR2 received, avg 0.046 sec between SIGUSR1, avg 0.094 sec between SIGUSR2
[Wed Apr 28 16:07:32 2021] 503 SIGUSR1 sent, 377 SIRUSR2 sent, 772 SIGUSR1 received, 377 SIGUSR2 received, avg 0.046 sec between SIGUSR1, avg 0.095 sec between SIGUSR2
[Wed Apr 28 16:07:33 2021] 506 SIGUSR1 sent, 384 SIRUSR2 sent, 775 SIGUSR1 received, 384 SIGUSR2 received, avg 0.047 sec between SIGUSR1, avg 0.095 sec between SIGUSR2
[Wed Apr 28 16:07:33 2021] 516 SIGUSR1 sent, 384 SIRUSR2 sent, 785 SIGUSR1 received, 384 SIGUSR2 received, avg 0.047 sec between SIGUSR1, avg 0.095 sec between SIGUSR2
[Wed Apr 28 16:07:33 2021] 526 SIGUSR1 sent, 384 SIRUSR2 sent, 795 SIGUSR1 received, 384 SIGUSR2 received, avg 0.046 sec between SIGUSR1, avg 0.096 sec between SIGUSR2
[Wed Apr 28 16:07:33 2021] 536 SIGUSR1 sent, 384 SIRUSR2 sent, 805 SIGUSR1 received, 384 SIGUSR2 received, avg 0.046 sec between SIGUSR1, avg 0.096 sec between SIGUSR2
[Wed Apr 28 16:07:33 2021] 546 SIGUSR1 sent, 384 SIRUSR2 sent, 815 SIGUSR1 received, 384 SIGUSR2 received, avg 0.046 sec between SIGUSR1, avg 0.097 sec between SIGUSR2
[Wed Apr 28 16:07:34 2021] 556 SIGUSR1 sent, 384 SIRUSR2 sent, 825 SIGUSR1 received, 384 SIGUSR2 received, avg 0.045 sec between SIGUSR1, avg 0.097 sec between SIGUSR2
[Wed Apr 28 16:07:34 2021] 556 SIGUSR1 sent, 394 SIRUSR2 sent, 825 SIGUSR1 received, 394 SIGUSR2 received, avg 0.046 sec between SIGUSR1, avg 0.096 sec between SIGUSR2
[Wed Apr 28 16:07:34 2021] 556 SIGUSR1 sent, 404 SIRUSR2 sent, 825 SIGUSR1 received, 404 SIGUSR2 received, avg 0.046 sec between SIGUSR1, avg 0.094 sec between SIGUSR2
[Wed Apr 28 16:07:35 2021] 556 SIGUSR1 sent, 414 SIRUSR2 sent, 825 SIGUSR1 received, 414 SIGUSR2 received, avg 0.047 sec between SIGUSR1, avg 0.093 sec between SIGUSR2
[Wed Apr 28 16:07:35 2021] 556 SIGUSR1 sent, 424 SIRUSR2 sent, 825 SIGUSR1 received, 424 SIGUSR2 received, avg 0.047 sec between SIGUSR1, avg 0.092 sec between SIGUSR2
[Wed Apr 28 16:07:36 2021] 556 SIGUSR1 sent, 434 SIRUSR2 sent, 825 SIGUSR1 received, 434 SIGUSR2 received, avg 0.048 sec between SIGUSR1, avg 0.091 sec between SIGUSR2
[Wed Apr 28 16:07:36 2021] 566 SIGUSR1 sent, 434 SIRUSR2 sent, 835 SIGUSR1 received, 434 SIGUSR2 received, avg 0.048 sec between SIGUSR1, avg 0.092 sec between SIGUSR2
[Wed Apr 28 16:07:37 2021] 571 SIGUSR1 sent, 439 SIRUSR2 sent, 840 SIGUSR1 received, 439 SIGUSR2 received, avg 0.049 sec between SIGUSR1, avg 0.093 sec between SIGUSR2
[Wed Apr 28 16:07:38 2021] 574 SIGUSR1 sent, 446 SIRUSR2 sent, 843 SIGUSR1 received, 446 SIGUSR2 received, avg 0.049 sec between SIGUSR1, avg 0.093 sec between SIGUSR2
[Wed Apr 28 16:07:38 2021] 584 SIGUSR1 sent, 446 SIRUSR2 sent, 853 SIGUSR1 received, 446 SIGUSR2 received, avg 0.049 sec between SIGUSR1, avg 0.093 sec between SIGUSR2
